# chisq H0 ombh2 omch2 tau As ns
2.581557040910327487e+03 6.843854680870325069e+01 2.235255168869713233e-02 1.171991432972812747e-01 8.548564671735797704e-02 2.225122649573326469e-09 9.731097608065811810e-01
2.581557040910327487e+03 6.843854680870325069e+01 2.235255168869713233e-02 1.171991432972812747e-01 8.548564671735797704e-02 2.225122649573326469e-09 9.731097608065811810e-01
2.581977293063818252e+03 6.844807925303300067e+01 2.235169270018862869e-02 1.172033614158606296e-01 8.555052451832138860e-02 2.225779758893269880e-09 9.731270206989479643e-01
2.581977293063818252e+03 6.844807925303300067e+01 2.235169270018862869e-02 1.172033614158606296e-01 8.555052451832138860e-02 2.225779758893269880e-09 9.731270206989479643e-01
2.581782710925078391e+03 6.847827740026538379e+01 2.235013512958194948e-02 1.171618482067727368e-01 8.566032680855141523e-02 2.225965134088984071e-09 9.732760223056927673e-01
2.582111523184640646e+03 6.847116452859364699e+01 2.234930792253100873e-02 1.172128240195529497e-01 8.527479238263417638e-02 2.224757534745629097e-09 9.732665914528592088e-01
2.582111523184640646e+03 6.847116452859364699e+01 2.234930792253100873e-02 1.172128240195529497e-01 8.527479238263417638e-02 2.224757534745629097e-09 9.732665914528592088e-01
2.582111523184640646e+03 6.847116452859364699e+01 2.234930792253100873e-02 1.172128240195529497e-01 8.527479238263417638e-02 2.224757534745629097e-09 9.732665914528592088e-01
2.583077385467307977e+03 6.846962322955013747e+01 2.234986783363767174e-02 1.172403930063083410e-01 8.524436652960742933e-02 2.225357015618369099e-09 9.732881774809616360e-01
2.582730249138820909e+03 6.846394637378742232e+01 2.234740665874931573e-02 1.172150867083343179e-01 8.509358654769855201e-02 2.224289885024777144e-09 9.732841696649429108e-01
2.584855444854518282e+03 6.846022962372130394e+01 2.234365863119727041e-02 1.171487844866605788e-01 8.459736948724003169e-02 2.222853526907563194e-09 9.732308271089423757e-01
2.584855444854518282e+03 6.846022962372130394e+01 2.234365863119727041e-02 1.171487844866605788e-01 8.459736948724003169e-02 2.222853526907563194e-09 9.732308271089423757e-01
2.584855444854518282e+03 6.846022962372130394e+01 2.234365863119727041e-02 1.171487844866605788e-01 8.459736948724003169e-02 2.222853526907563194e-09 9.732308271089423757e-01
2.582154507910550819e+03 6.845900384624528101e+01 2.234164308413334743e-02 1.171625942197039305e-01 8.482492988024868674e-02 2.222373084757325102e-09 9.732840415892065611e-01
2.577723288943792795e+03 6.845057028293555845e+01 2.234277441661915165e-02 1.171834057728579209e-01 8.553569658201562453e-02 2.221849911010987534e-09 9.732463515769164131e-01
2.576970896350640032e+03 6.845234367818238752e+01 2.234164479846852472e-02 1.171992649471122333e-01 8.545491064439932061e-02 2.220409914753595635e-09 9.730631302825376583e-01
2.577863186119042894e+03 6.845138690729916675e+01 2.233652654259633483e-02 1.171954917645413735e-01 8.575255874764534103e-02 2.223085061594407112e-09 9.731832060535724471e-01
2.579338273172209483e+03 6.847241077202535564e+01 2.233979939481795657e-02 1.172190480777451499e-01 8.572564321970975454e-02 2.224823205356152005e-09 9.731164498639808258e-01
2.581272308533742489e+03 6.846510491020869438e+01 2.233904395416956221e-02 1.172037233017125951e-01 8.540197698688622996e-02 2.224852687407121321e-09 9.730581004817340229e-01
2.580424353950651039e+03 6.845617708432371273e+01 2.233579570144854018e-02 1.171801950608044873e-01 8.552611970943473085e-02 2.224557751680336480e-09 9.730858521580667553e-01
2.581547349344513350e+03 6.845511710362386282e+01 2.233355415874168498e-02 1.172031882448909546e-01 8.518712429267707997e-02 2.224042899082151912e-09 9.730391474101718341e-01
2.580159863372930886e+03 6.845053168725245030e+01 2.233013887985390092e-02 1.172447156373032928e-01 8.538907756586022746e-02 2.224133960518189892e-09 9.730425177727032304e-01
2.582358189742667491e+03 6.845457721108716953e+01 2.233329381595546004e-02 1.172783138966466687e-01 8.493748008744868294e-02 2.223946471945316783e-09 9.730130162993684273e-01
2.583066873260571811e+03 6.845252140747690817e+01 2.233192928046297959e-02 1.172852857609384819e-01 8.513154785297409599e-02 2.225254735641945553e-09 9.730372751165663470e-01
2.583066873260571811e+03 6.845252140747690817e+01 2.233192928046297959e-02 1.172852857609384819e-01 8.513154785297409599e-02 2.225254735641945553e-09 9.730372751165663470e-01
2.583066873260571811e+03 6.845252140747690817e+01 2.233192928046297959e-02 1.172852857609384819e-01 8.513154785297409599e-02 2.225254735641945553e-09 9.730372751165663470e-01
2.583588410829777786e+03 6.846219849944252189e+01 2.233105524005524548e-02 1.172968487775491592e-01 8.522928646925770346e-02 2.226112458221431895e-09 9.730375839517626524e-01
2.582643365040691151e+03 6.843418331527945497e+01 2.233053274753608874e-02 1.172343080038652091e-01 8.538017362212403649e-02 2.225699658168991886e-09 9.730024328492469232e-01
2.580558568305369590e+03 6.843136774702134062e+01 2.233396243172972723e-02 1.172328824114624440e-01 8.561477396044903099e-02 2.225231140396082500e-09 9.730895704318289763e-01
2.580558568305369590e+03 6.843136774702134062e+01 2.233396243172972723e-02 1.172328824114624440e-01 8.561477396044903099e-02 2.225231140396082500e-09 9.730895704318289763e-01
2.577922547153933465e+03 6.843665375190269629e+01 2.233652984029584065e-02 1.172602892184261003e-01 8.592791391227089237e-02 2.224273566226678110e-09 9.731540209691533772e-01
2.577922547153933465e+03 6.843665375190269629e+01 2.233652984029584065e-02 1.172602892184261003e-01 8.592791391227089237e-02 2.224273566226678110e-09 9.731540209691533772e-01
2.577922547153933465e+03 6.843665375190269629e+01 2.233652984029584065e-02 1.172602892184261003e-01 8.592791391227089237e-02 2.224273566226678110e-09 9.731540209691533772e-01
2.577374303530378256e+03 6.843776697481791871e+01 2.233803709719964573e-02 1.172423432940299520e-01 8.583939219526459663e-02 2.223055332138838898e-09 9.730820931730883583e-01
2.577573202114862397e+03 6.844035668754506219e+01 2.233591229651904486e-02 1.172576011372307020e-01 8.588616000913279480e-02 2.223588516556141668e-09 9.731584390262941753e-01
2.578628735727759704e+03 6.843044119697614747e+01 2.233401420706615861e-02 1.172382586698110934e-01 8.556004926562282842e-02 2.223168678654805179e-09 9.733131026134813624e-01
2.578628735727759704e+03 6.843044119697614747e+01 2.233401420706615861e-02 1.172382586698110934e-01 8.556004926562282842e-02 2.223168678654805179e-09 9.733131026134813624e-01
2.579497576470244894e+03 6.839988112656529040e+01 2.233222464895388490e-02 1.172165998244901058e-01 8.590476763353235845e-02 2.225063178529789308e-09 9.733912966869400218e-01
2.579497576470244894e+03 6.839988112656529040e+01 2.233222464895388490e-02 1.172165998244901058e-01 8.590476763353235845e-02 2.225063178529789308e-09 9.733912966869400218e-01
